Folder,Filename,Title,Author,License,Sketchfab Link,Attribution,Lookup Method
Bridge,be33d9644e104769b5508ef14093c168.glb,Bolsheokhtinsky Bridge (Большеохтинский мост),YuriSnitko (https://sketchfab.com/YuriSnitko),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/bolsheokhtinsky-bridge-be33d9644e104769b5508ef14093c168,"""Bolsheokhtinsky Bridge (Большеохтинский мост)"" by YuriSnitko (https://sketchfab.com/YuriSnitko) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/bolsheokhtinsky-bridge-be33d9644e104769b5508ef14093c168)",internal
Bridge,bridge.glb,Bridge,Nikolayy (https://sketchfab.com/Nikolayy),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/bridge-545a57d9785443bca9b135da2e497bc0,"""Bridge"" by Nikolayy (https://sketchfab.com/Nikolayy) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/bridge-545a57d9785443bca9b135da2e497bc0)",internal
Bridge,bridge_1.glb,Bridge,Maxim Samsonkin (https://sketchfab.com/Maximus159),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/bridge-346220b3831141a19bd8911bdbb823f4,"""Bridge"" by Maxim Samsonkin (https://sketchfab.com/Maximus159) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/bridge-346220b3831141a19bd8911bdbb823f4)",internal
Bridge,bridge_2.glb,Bridge,atillakurt (https://sketchfab.com/atillakurt),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/bridge-2d618fe3a8454623a2dc0b363549b48c,"""Bridge"" by atillakurt (https://sketchfab.com/atillakurt) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/bridge-2d618fe3a8454623a2dc0b363549b48c)",internal
Bridge,bridge_3.glb,Bridge,Third_Fox (https://sketchfab.com/Third_Fox),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/bridge-75467253334941bfaec73b3cc6d1fd1b,"""Bridge"" by Third_Fox (https://sketchfab.com/Third_Fox) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/bridge-75467253334941bfaec73b3cc6d1fd1b)",internal
Bridge,bridge_4.glb,Bridge,VictorSantos76 (https://sketchfab.com/VictorSantos01),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/bridge-8e0227deb8704ae5b004192a8da8b825,"""Bridge"" by VictorSantos76 (https://sketchfab.com/VictorSantos01) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/bridge-8e0227deb8704ae5b004192a8da8b825)",internal
Bridge,bridge_5.glb,Bridge,Milan (https://sketchfab.com/milanfonken),CC-BY-NC-ND-4.0 (http://creativecommons.org/licenses/by-nc-nd/4.0/),https://sketchfab.com/3d-models/bridge-b95a1cf88cae49ada50f9264cf51d43d,"""Bridge"" by Milan (https://sketchfab.com/milanfonken) is licensed under CC-BY-NC-ND-4.0 (http://creativecommons.org/licenses/by-nc-nd/4.0/) (Source: https://sketchfab.com/3d-models/bridge-b95a1cf88cae49ada50f9264cf51d43d)",internal
Bridge,bridge_winter.glb,Bridge winter,TheDrone (https://sketchfab.com/thedrone),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/bridge-winter-aa2336ee78dd4de580822bbcf3a7ca5f,"""Bridge winter"" by TheDrone (https://sketchfab.com/thedrone) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/bridge-winter-aa2336ee78dd4de580822bbcf3a7ca5f)",internal
Bridge,broken_bridge.glb,BROKEN BRIDGE,drcrazzie (https://sketchfab.com/drcrazzie),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/broken-bridge-95309d482f9949c0b87d4f0801f4a70f,"""BROKEN BRIDGE"" by drcrazzie (https://sketchfab.com/drcrazzie) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/broken-bridge-95309d482f9949c0b87d4f0801f4a70f)",internal
Bridge,dreamy_bridge.glb,Dreamy Bridge,Lowpolyme (https://sketchfab.com/lowpolyme),CC-BY-NC-4.0 (http://creativecommons.org/licenses/by-nc/4.0/),https://sketchfab.com/3d-models/dreamy-bridge-50c3313a16c740a4b02d0ff2e2441889,"""Dreamy Bridge"" by Lowpolyme (https://sketchfab.com/lowpolyme) is licensed under CC-BY-NC-4.0 (http://creativecommons.org/licenses/by-nc/4.0/) (Source: https://sketchfab.com/3d-models/dreamy-bridge-50c3313a16c740a4b02d0ff2e2441889)",internal
